,real_date,DOW,VIX,BTC,ETH,kospi,vkospi,gold,dol,DOW1,VIX1,BTC1,ETH1,kospi1,vkospi1,gold1,dol1,corona
114,2020-05-09,,,9593.896484,211.600128,,,,,,,-0.025599497591380214,-0.006554315427682529,,,,,1
115,2020-05-08,24331.32031,27.98,9842.666016,212.991577,"1,945.82",28.77,"67,420","1,273.18",0.018895232526546766,-0.11659103013028593,-0.010998547165594338,0.003302191630246304,0.008883945865962245,-0.08460435777485782,0.009388341068369966,-0.004334049395768055,1
116,2020-05-07,23875.89063,31.440001,9951.518555,212.289398,"1,928.61",31.31,"66,790","1,278.71",0.00888721201976416,-0.08180269394753335,0.07107536685909267,0.039557011451386334,-7.777319783987345e-05,-0.015843170422738365,-0.00760686791313749,0.00482899584559678,1
117,2020-05-06,23664.64063,34.119999,9268.761719,204.055786,"1,928.76",31.81,"67,300","1,272.55",-0.009188692913354436,0.01506002182509092,0.029084126211260483,-0.013234921787874866,,,,,1
118,2020-05-05,23883.08984,33.610001,9003.070313,206.774399,,,,,0.005598254956832231,-0.06786161401841402,0.010093567031157031,-0.006745982267161942,,,,,1
119,2020-05-04,23749.75977,35.970001,8912.654297,208.174011,"1,895.37",36.36,"67,490","1,281.32",,,0.0017052718434150214,-0.01316694207284248,,,,,1
120,2020-05-03,,,8897.46875,210.933151,,,,,,,-0.01018991223893688,-0.020609006786765555,,,,,1
121,2020-05-02,,,8988.59668,215.325378,,,,,,,0.01387212726444768,0.005150942452209,,,,,1
122,2020-05-01,23723.68945,37.189999,8864.766602,214.219101,,,,,-0.025881989040097288,0.0852772364660786,0.02353691048870481,0.03137629688834216,,,,,1
123,2020-04-30,24345.7207,34.150002,8658.553711,207.602051,,,,,-0.011765801321263777,0.08938347328696393,-0.01632197818580675,-0.04412791108210088,,,,,1
124,2020-04-29,24633.85938,31.23,8801.038086,216.968231,"1,947.56",30.51,"67,450","1,270.98",0.021845707988228845,-0.0722536396969564,0.11984140641936815,0.08938817949429165,0.006940375391622931,-0.06748403136732792,0.004904520494814161,-0.00540637289933368,1
125,2020-04-28,24101.55078,33.57,7807.058594,198.41539,"1,934.09",32.64,"67,120","1,277.87",-0.0013363036903629234,0.008375729365959839,0.0014686626899848242,0.00601899340645005,0.005870076956475431,-0.07408608816076757,-0.02078954343878156,-0.0008135233045924059,1
126,2020-04-27,24133.7793,33.290001,7795.601074,197.224716,"1,922.77",35.15,"68,530","1,278.91",,,0.014957355954862084,-0.00047051488897384116,,,,,1
127,2020-04-26,,,7679.867188,197.317535,,,,,,,0.01441763616907644,0.009175621083162252,,,,,1
128,2020-04-25,,,7569.936035,195.515305,,,,,,,0.002517739747290904,0.032638792685687756,,,,,1
129,2020-04-24,23775.26953,35.93,7550.900879,189.236938,"1,889.01",37.54,"68,860","1,288.10",0.010996382738130665,-0.14122509535823324,0.0161780845593142,0.02248907867172681,-0.013523738213570516,0.08560780005857914,0.011391973645259087,0.006667626079049991,1
130,2020-04-23,23515.25977,41.380001,7429.724609,185.028671,"1,914.73",34.46,"68,080","1,279.54",0.0016785938605154327,-0.014395617908826331,0.04297334705992676,0.013215128876565048,0.009751105897638166,-0.058881955096003816,0.01464848269032206,-0.005284790113163881,1
131,2020-04-22,23475.82031,41.98,7117.20752,182.599579,"1,896.15",36.55,"67,090","1,286.32",0.019656182340918153,-0.07853903071737288,0.03384981255484614,0.05552139782799179,0.008883579411492721,0.0005473453885963413,-0.001787044407077823,0.0033250691560194126,1
132,2020-04-21,23018.88086,45.41,6880.323242,172.737701,"1,879.38",36.53,"67,210","1,282.05",-0.02706691003481662,0.03541378504829638,-0.0002376428616746671,0.0025535752052677947,-0.010048420326333877,0.09287678922025762,0.0169559167691519,0.007524042244128865,1
133,2020-04-20,23650.43945,43.830002,6881.958496,172.297165,"1,898.36",33.29,"66,080","1,272.44",,,-0.043707892676145776,-0.05266815208989649,,,,,1
134,2020-04-19,,,7189.424805,181.61496,,,,,,,-0.00944698790520704,-0.028759781744403634,,,,,1
135,2020-04-18,,,7257.665039,186.914001,,,,,,,0.02250090203603422,0.08525763641397582,,,,,1
